"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O14818",0,0,0,0,0,0,0,0,0,0,0,0
"O14828",0,0,0,0,0,0,0,0,0,0,0,0
"O14867",0,0,0,0,0,0,0,0,0,0,0,0
"O14893",0,0,0,0,0,0,0,0,0,0,0,0
"O14908",0,0,0,0,0,0,0,0,0,0,0,0
"O14910",0,0,0,0,0,0,0,0,0,0,0,0
"O14920",0,0,0,0,0,0,0,0,0,0,0,0
"O14925",0,0,0,0,0,0,0,0,0,0,0,0
"O14929",0,0,0,0,0,0,0,0,0,0,0,0
"O14931",0,0,0,0,0,0,0,0,0,0,0,0
"O14936",0,0,0,0,0,0,0,0,0,0,0,0
"O14964",0,0,0,0,0,0,0,0,0,0,0,0
"O14965",0,0,0,0,0,0,0,0,0,0,0,0
"O14974",0,0,0,0,0,0,0,0,0,0,0,0
"O14979",0,0,0,0,0,0,0,0,0,0,0,0
"O14980",0,0,0,0,0,0,0,0,0,0,0,0
"O14983",0,0,0,0,0,0,0,0,0,0,0,0
"O14986",0,0,0,0,0,0,0,0,0,0,0,0
"O15027",0,0,0,0,0,0,0,0,0,0,0,0
"O15042",0,0,0,0,0,0,0,0,0,0,0,0
"O15047",0,0,0,0,0,0,0,0,0,0,0,0
"O15054",0,0,0,0,0,0,0,0,0,0,0,0
"O15066",0,0,0,0,0,0,0,0,0,0,0,0
"O15078",0,0,0,0,0,0,0,0,0,0,0,0
"O15084",0,0,0,0,0,0,0,0,0,0,0,0
"O15091",0,0,0,0,0,0,0,0,0,0,0,0
"O15105",0,0,0,0,0,0,0,0,0,0,0,0
"O15111",0,0,0,0,0,0,0,0,0,0,0,0
"O15116",0,0,0,0,0,0,0,0,0,0,0,0
"O15117",0,0,0,0,0,0,0,0,0,0,0,0
"O15120",0,0,0,0,0,0,0,0,0,0,0,0
"O15126",0,0,0,0,0,0,0,0,0,0,0,0
"O15127",0,0,0,0,0,0,0,0,0,0,0,0
"O15143",1,1,1,1,1,0,1,1,1,1,1,0
"O15144",0,0,0,0,0,0,0,0,0,0,0,0
"O15145",0,0,0,0,0,0,0,0,0,0,0,0
"O15151",0,0,0,0,0,0,0,0,0,0,0,0
"O15169",0,1,0,0,0,1,0,0,0,0,0,1
"O15198",0,0,0,0,0,0,0,0,0,0,0,0
"O15212",1,1,1,1,1,1,1,1,1,1,1,1
"O15228",0,0,0,0,0,0,0,0,0,0,0,0
"O15230",0,0,0,0,0,0,0,0,0,0,0,0
"O15234",0,0,0,0,0,0,0,0,0,0,0,0
"O15235",0,0,0,0,0,0,0,0,0,0,0,0
"O15239",0,0,0,0,0,0,0,0,0,0,0,0
"O15259",0,0,0,0,0,0,0,0,0,0,0,0
"O15260",0,0,0,0,0,0,0,0,0,0,0,0
"O15265",0,0,0,0,0,0,0,0,0,0,0,0
"O15269",0,0,0,0,0,0,0,0,0,0,0,0
"O15270",0,0,0,0,0,0,0,0,0,0,0,0
"O15273",0,0,0,0,0,0,0,0,0,0,0,0
"O15287",0,0,0,0,0,0,0,0,0,0,0,0
"O15294",0,0,0,0,0,0,0,0,0,0,0,0
"O15297",0,0,0,0,0,0,0,0,0,0,0,0
"O15304",0,0,0,0,0,0,0,0,0,0,0,0
"O15315",0,0,0,0,0,0,0,0,0,0,0,0
