CORUM human complex
P41182;P56524
P41182;Q9UQL6
P41182;Q8WUI4
Q09472;Q92793;Q92831;Q9Y6Q9
O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3
Q92902;Q9NQG7
Q86YV9;Q969F9;Q9UPZ3
Q92903;Q96NY9
O15379;O60907;O75376;Q13227;Q92828;Q9BZK7
O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45
O15143;O15144;O15145;O15511;P59998;P61158;P61160
P61289
Q06323;Q9UL46
O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6
O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9
O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5
O94776;O95983;P41182;Q13547;Q9BTC8
P49768;Q92542;Q96BI3;Q9NZ42
P49768;Q92542;Q96BI3;Q9NZ42
O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3
P20339;Q15276;Q9UJ41
O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3
P27361;P56524
P28482;P56524
O15379;O60907;Q13227;Q9BZK7;Q9Y618
O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2
P42224;P52630;Q00978
O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769
O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5
O60216;Q14683;Q8WVM7;Q9UQE7
O60216;Q14683;Q8N3U4;Q9UQE7
O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0
O00189;Q9UPM8;Q9Y587;Q9Y6B7
O15315;O43502;O43543;O75771
O60934;P49959;Q92878
P49959;Q92878
O60934;P49959;Q92878
P48995;Q14573;Q9NSC5
P49815;Q92574
P62877;P63208;Q13309;Q13616
P62877;P63208;Q14999;Q8N3Y1
O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9
P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27
O00471;O60645;Q8IYI6;Q8TAG9;Q96A65;Q96KP1;Q9NV70;Q9UPT5
O15287;O15360;Q00597;Q9NPI8
P10747;P19338
P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6
O60264;Q9NRL2
P12956;P13010;Q9BXJ9
P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13
P04637;Q00987;Q09472
P28370;Q09028;Q12830;Q16576
O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759
O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875
O75530;Q09028;Q15022;Q15910;Q16576
P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q92759
O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9
O75971;Q13487;Q16533;Q5SXM2;Q92966
O00257;O60264;P0DMV8;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52
O00257;O60264;P0DMV8;P25490;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52
P29992;P50148;P60033;P62873;Q9Y653
P37287;Q14442;Q92535;Q9BRB3
P01374;P36941;Q06643
O75817;O75818;O95059;O95707;P78345;P78346;Q969H6;Q99575;Q9BUL9;Q9H633
P17987;P40227;P48643;P49368;P50990;P50991;P78371;Q99832
O14777;Q8NBT2;Q9BZD4;Q9HBM1
P42575;P78560;Q9HB75
P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0
P25791;Q02577;Q86U70;Q9BXY8
P35613;P49768;Q92542;Q96BI3;Q9NZ42
O00213;P05067;Q07954
O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5
O96019;P51532;P60709;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5
P29083;P29084
P13984;P35269
O00268;P20226;P21675;P49848;Q12962;Q15542;Q15544;Q16594;Q6P1X5
P57678;Q86TM6;Q9BUN8
O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3
O95347;P09874;P18887;Q15003;Q15021;Q9BPX3;Q9NTJ3
O95347;P42695;Q6IBW4;Q86XI2;Q9NTJ3
P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7
O60216;Q14683;Q8N3U4;Q9UQE7
O60216;Q14683;Q8WVM7;Q9UQE7
O60216;Q14683;Q8WVM7;Q9UQE7
O60216;Q14683;Q8N3U4;Q9UQE7
O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3
O60934;P49959;Q92878
O15294;O60296;Q9UPV9
O00217;O00483;O14561;O15239;O43181;O43674;O43676;O43677;O43678;O43920;O75251;O75306;O75380;O75438;O75489;O95139;O95167;O95168;O95169;O95178;O95182;O95298;O95299;O96000;P03886;P03891;P03897;P03901;P03915;P03923;P17568;P19404;P28331;P49821;P51970;P56181;P56556;Q16718;Q16795;Q86Y39;Q9NX14;Q9P0J0;Q9UI09;Q9Y6M9
P62136;Q96QC0
O14818;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P49720;P49721;P55036;P60900;P62191;P62195;P62333;Q99436;Q9UNM6
Q7L576;Q8IZP0;Q8WUW1;Q9Y2A7;Q9Y6W5
O14497;O94805;O96019;P51531;P51532;P60709;P63261;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q969G3;Q96GM5
O43684;O60566;Q12834;Q13257
O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q99436
O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q06323;Q99436;Q9UL46
O00231;O00232;O00233;O00487;O14818;O43242;O75832;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P48556;P49720;P49721;P51665;P55036;P60900;P62191;P62195;P62333;Q06323;Q13200;Q15008;Q16401;Q99436;Q99460;Q9UL46;Q9UNM6
O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;P61289;Q99436
P38398;Q99728
O60934;P38398;P49959;Q92878
P40337;P62877;Q13617;Q15369;Q15370
P49917;Q13426
Q15369;Q15370;Q93034;Q96Q27;Q9UBF6
Q15369;Q15370;Q93034;Q9UBF6;Q9Y576
Q15369;Q15370;Q93034;Q9NWX5;Q9UBF6
Q15369;Q15370;Q93034;Q9H672;Q9UBF6
Q15369;Q15370;Q8WXK4;Q93034;Q9UBF6
P18887;P49916
P18887;P49917
P62877;Q15369;Q15370;Q93034;Q9Y6I7
O43513;O60244;O75448;O95402;Q15648;Q6P2C8;Q9NVC6;Q9ULK4
O43513;O60244;O75448;O95402;Q15648;Q6P2C8;Q9NVC6;Q9ULK4
P62877;Q13616;Q86VP6
P06748;Q7Z6Z7;Q8N726
P62877;Q13617;Q86VP6
P62877;Q13618;Q86VP6
P62877;Q13619;Q86VP6
P62877;Q13620;Q86VP6
P63208;Q13309;Q13616
P63208;Q13616;Q9Y297
