"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"P27338",117389.5083,124023.9972,163494.7444,178254.9972,140526.2972,161046.5389,129074.7528,117967.275,170208.5444,167923.6944,148188.175,150009.175
"O60313",0,0,16436.64444,15740.34722,29242.13056,22055.12778,0,35413.60278,0,33943.75972,32882.37222,29369.21944
"Q15120",0,2282.408333,6142.9,0,454.9222222,0,4172.005556,0,8242.808333,0,0,0
"P05546",60527.23333,63640.03333,55431.71944,41778.37778,37020.33056,47101.825,58436.30556,61900.07778,60416.61111,46895.875,36018.36111,46418.58889
"O43920",52341.575,65391.50833,83842.96667,63732.60278,43585.09444,106620.2972,50179.16389,66379.24444,83842.96667,69842.09722,43101.08056,92512.36667
"Q01813",191537.0444,127797.3361,23827.06111,18592.76944,29111.44444,173069.6306,193664.7694,41711.94167,0,27260.10833,32049.25,0
"Q92616",0,10243.85833,0,0,1055.161111,6569.588889,0,7203.25,0,0,13283.71389,0
"O00468",77348.16944,85464.76389,78547.76944,82939.10556,90661.31389,77348.16944,75160.02222,93981.025,77709.525,82107.81944,125846.9583,90661.31389
"O00499",45871.05,24335.52222,34267.10556,35176.2,17258.51667,34991.43889,37098.08611,0,36073.49722,36144.325,41362.59722,35358.80556
"Q9HAV7",91800.23889,67454.83889,101308.6278,96108.93056,69039.95833,97932.12222,94670.17778,57623.33889,96108.93056,101732.6806,81193.98889,85094.46667
"O75347",81193.98889,86395.17778,79161.39722,93981.025,82242.06944,68194.41389,84009.8,78216.50833,76292.56667,65262.98611,55254.21389,52878.94722
"Q96EP5",5202.177778,2413.244444,6462.55,2714.897222,1577.955556,2413.244444,8603.886111,5836.422222,8404.697222,8469.238889,6679.15,8507.197222
"P27797",170208.5444,227161.6917,168410.95,195557.7861,220764.4333,200648.9667,167923.6944,243907.8889,165285.9417,185750.2889,199390.7111,186398.9306
"Q9NRV9",34386.66389,44088.325,43889.17778,36623.49167,37098.08611,49103.56111,39356.67222,45944.75278,35565.02778,33626.33611,42192.09722,50560.56389
"O43175",159751.1667,75049.44167,93424.58611,102888.275,77962.16667,88571.79722,165765.8556,71739.48889,91995.30278,95207.85,75160.02222,90138.99722
"P04066",39986.90278,55162.83056,39084.55278,39208.25,36956.08333,44156.46944,44306.31944,51274.71944,38576.91389,45654.69722,43184.225,39208.25
"Q9BRP8",2834.530556,0,0,0,66.21666667,0,0,0,6838.705556,7428.344444,0,4398.755556
"P59998",128776.1694,145510.7972,119493.2833,136629.5861,141575.7361,121324.3972,136875.9056,145510.7972,126743.5778,138626.9111,150524.4639,122047.1528
"Q63ZY3",0,0,0,0,0,0,0,0,0,0,0,0
"Q15691",15516.17778,0,0,20892.73056,10701.53611,0,17380.48611,44010.16389,36956.08333,76685.11389,13873.04444,0
"P35908",22778.51944,122599.5083,195557.7861,2973.825,14448.975,5033.483333,70596.1,93224.90833,198832.2417,12444.31389,46219.51944,9759.944444
"P26447",99238.84167,63188.02222,50443.02778,36705.59722,55509.41111,78654.15556,84436.99722,58530.55,49636.30833,43184.225,56337.17778,67233.21944
"Q14651",44797.68889,39848.8,12924.71389,31231.33611,0,32750.56111,47039.95,22778.51944,20961.98611,34856.46667,26628.23889,30381.40556
"Q9Y262",0,0,0,0,0,0,0,0,0,0,0,0
"P31639",6462.55,13744.35278,8469.238889,8404.697222,1820.425,0,7770.880556,19108.58056,9890.291667,13938.16944,6339.455556,0
"Q9UMX5",53114.31944,39356.67222,50797.625,0,0,43653.46944,0,0,52572.61389,55162.83056,0,54919.61389
"Q8NFZ0",30209.1,26490.25556,33573.35833,37786.89722,37526.54444,40935.27222,37572.64444,37326.20278,38511.05,45871.05,0,0
"P46778",0,0,0,0,0,0,0,20825.75278,14224.84722,0,0,0
"Q8IZQ5",41004.78056,0,0,27915.41389,31454.89722,33626.33611,34325.01389,0,0,37526.54444,0,33256.26111
"P56537",69379.75556,54056.81111,59328.50556,73467.66944,73200.34722,58436.30556,64454,53619.98889,60788.275,67333.53611,61553.76944,52341.575
"P02654",99627.9,48379.87778,72635.24444,56247.06111,37258.59167,73747.38056,102116.3306,50560.56389,76429.37778,59827.375,38870.95556,59915.42222
"Q9H2M3",261842.85,63060.78333,145510.7972,132404.4361,94182.11389,102711.5194,261842.85,60992.95833,151558.8611,129074.7528,103144.4417,145114.2222
"Q12959",29052.19167,25318.95,17826.70833,8507.197222,6142.9,15740.34722,14957.50833,14566.58056,32049.25,12806.98333,27005.53056,20346.63889
"P48681",80199.58056,86748.57778,69717.975,29862.29722,83390.32778,75858.82778,74546.25278,88118.88056,74780.30833,15847.525,83236.9,23498.14722
"Q12849",3405.972222,2064.747222,6047.897222,1681.497222,531.2638889,4285.252778,4878.9,0,8719.525,0,4878.9,5582.866667
"Q8TB37",0,1947.147222,6501.191667,0,0,2077.569444,0,0,9120.119444,0,0,0
"Q9NQW7",33325.86111,39785.63333,39005.51667,13480.96111,39084.55278,13283.71389,36825.06389,21831.55556,18128.35,19764.20278,22562.35278,15116.90556
"O94979",35176.2,31663.40833,23318.46944,34713.41944,38212.23333,43350.85833,27796.91111,45576.65833,48512.74444,27796.91111,45014.49444,32336.43056
"O76038",0,0,0,0,0,0,0,0,0,0,0,0
"Q6PEY1",43585.09444,43815.96667,24411.29444,55745.14722,36705.59722,12874.95278,43350.85833,46553.01944,22378.06111,57523.94167,30381.40556,12617.17778
"P46779",13283.71389,18592.76944,15116.90556,9229.783333,17715.21111,0,14373.54444,24858.78611,15516.17778,13208.60833,18280.41944,10305.74167
"P35914",150524.4639,114480.7917,150009.175,134798.0389,137982.3083,157629.9389,140860.8611,110611.0861,151906.3417,130842.0806,136063.9972,161420.0417
"P15088",0,0,0,0,0,0,0,0,0,0,0,0
"P00488",72761.175,218057.1139,37786.89722,31797.31667,77225.75,31454.89722,78753.84722,224837.6167,38870.95556,41135.21111,77962.16667,33913.37778
"Q969I3",129359.2306,73854.19167,102286.7944,128776.1694,134155.1972,183892.9583,91020.11389,68503.39167,172028.6222,173659.3778,87502.26389,109599.3722
"P00441",38870.95556,64790.48611,0,2601.4,64108.37222,71139.86111,20961.98611,75727.375,0,0,87958.77778,73200.34722
"Q9UM54",22946.86111,38870.95556,29111.44444,45731.62222,37940.34444,39497.49167,26881.08056,42948.40278,34042.56667,47788.14722,39005.51667,39584.43611
"B7Z1M9",0,48664.34167,0,0,0,0,0,45014.49444,79971.32778,0,0,0
"P21810",474797.0194,127141.2083,299487.4639,280540.2583,239229.2278,390317.4667,469971.2417,70145.76667,226425.1694,172028.6222,230373.4667,354757.6611
"O75521",77709.525,41077.87222,78078.69722,65262.98611,30812.89722,36825.06389,47858.23889,42472.01944,82107.81944,81771.47778,37292.39722,66822.64444
"P63208",26881.08056,74156.40556,55628.05556,48594.65,45354.11944,57080.76111,27260.10833,89057.4,0,66571.79167,96253.9,60888.91667
"Q8IXM3",0,0,5634.227778,0,252.0555556,4583.052778,8667.869444,0,7530.066667,0,0,5532.627778
"O95299",56715.96111,60140.20833,67233.21944,84689.83889,82107.81944,100135.5778,43184.225,96253.9,60305.64167,65391.50833,33768.26667,70713.01944
"P12644",499422.7611,534962.1694,143697.0389,140526.2972,534962.1694,345183.5389,490235.9083,524995.4472,140860.8611,150009.175,505272.675,341137.1667
"Q9BUL8",47269.06944,36763.91944,38320.42778,43350.85833,34386.66389,41645.51667,39848.8,44536.32222,41294.54167,48748.28056,39584.43611,42948.40278
"Q96KN1",0,0,0,0,0,0,0,0,0,0,0,0
"Q6RW13",0,8082.066667,7428.344444,2734.252778,1278.861111,0,0,12874.95278,0,8906.125,5836.422222,0
"P12236",145951.8722,191537.0444,173069.6306,177210.95,152247.4222,205865.0722,142679.6028,201171.9389,186398.9306,175372.7444,177772.0361,202618.1889
"P53618",20453.29444,20275.925,16046.75556,15516.17778,11359.64167,15459.05556,21261.02778,24964.95,17258.51667,17484.31944,22619.79444,17428.51944
"Q9BTV4",0,0,0,0,0,0,0,0,0,0,0,0
"Q9UBI6",37326.20278,52272.02222,40663.75278,42948.40278,47788.14722,43497.88611,47551.11944,50724.91389,48017.64444,53514.58889,40479.86389,44088.325
"O60218",0,0,0,0,0,0,0,0,0,0,0,0
"Q86WU2",97335.61944,16907.93333,80465.47778,79458.76944,75727.375,41778.37778,96253.9,6047.897222,52415.71111,36869.43333,45871.05,39644.09722
"Q8N4Q0",3325.908333,3537.127778,0,0,0,2693.066667,0,0,0,0,0,11880.63333
"Q01415",12924.71389,0,11401.85833,8569.097222,0,3104.916667,0,7665.211111,13587.06944,11680.59444,8569.097222,8242.808333
"Q9H6R7",90840.21944,99627.9,102533.6861,114480.7917,70281.08889,81957.88611,103736.4667,91800.23889,105601.5139,114480.7917,86222.4,86082.28333
"Q9BRA2",124568.0333,113682.8528,125372.3139,146454.4139,110611.0861,101915.8611,143381.05,118534.4222,127797.3361,183399.7111,111753.2333,99238.84167
"Q9NXA8",0,0,0,1527.366667,0,0,0,0,0,0,0,7770.880556
"P01591",42678.39444,51189.29444,10305.74167,29111.44444,10170.48889,108554.7139,40479.86389,55839.27222,15398.21667,30209.1,10649.17222,105177.8583
"P10451",0,0,0,0,14687.36667,0,0,0,0,0,25017.80833,0
"P11142",384628.9722,462133.8694,354757.6611,446678.9083,540115.8056,333342.6833,351190.2028,427427.9944,378018.1222,446678.9083,549609.3778,333342.6833
"O94973",38794.68056,46763.47778,45794.93056,48379.87778,53619.98889,48954.48611,40858.48889,48748.28056,46689.51111,44536.32222,46628.66389,44156.46944
"Q9NYQ3",0,0,0,17146.31111,0,0,16653.17778,0,0,25737.06389,0,16907.93333
"P07355",189251.4111,148188.175,131767.875,111001.2528,253890.9056,202049.2139,195557.7861,148739.0889,127429.6806,112182.2639,171211.3833,172028.6222
"Q96QK1",69495.64167,86222.4,71139.86111,70281.08889,93734.03056,72021.55278,73975.35,92200.61944,75049.44167,91466.47222,116010.1111,75049.44167
"Q9BSD7",3515.05,0,7593.127778,0,343.7305556,2394.002778,4980.638889,5202.177778,13793.52222,0,0,0
"P50990",104642.8528,120716.1944,89991.46111,103736.4667,128225.4583,88904.66111,78414.15,125103.0361,88571.79722,100310.0389,130557.2361,91325.88611
"P07339",505272.675,529672.9389,484623.9806,659554.425,643592.9806,421056.1528,505272.675,513437.9,474797.0194,789446.125,746003.8694,457756.2306
"P12694",42876.78056,42825.81667,67126.97778,53514.58889,52341.575,69495.64167,54990.34444,70713.01944,54160.36944,48954.48611,39986.90278,66141.675
"O43169",0,26011.68611,0,6339.455556,7770.880556,0,0,0,0,0,12444.31389,0
"O00748",72977.35278,60416.61111,87502.26389,85464.76389,65948.93611,75727.375,85464.76389,60888.91667,102116.3306,76153.19167,70596.1,87958.77778
"Q13315",0,0,0,0,0,0,0,0,0,56135.89722,0,0
"Q495M3",23060.30278,0,28403.81389,0,0,0,21949.825,0,28285.6,0,0,0
"P31150",41711.94167,38266.54167,44397.45278,41645.51667,47477.475,42632.01667,28140.72778,27310.46389,26368.11111,25912.825,29176.40833,43429.14444
"Q13435",21763.84444,72021.55278,26788.92778,11223.05,18045.24167,17146.31111,22251.10556,138965.1722,28846.58889,0,0,0
"Q15067",39208.25,17146.31111,29655.41667,15184.38056,21073.91944,37098.08611,37020.33056,27066.25833,32750.56111,23060.30278,23827.06111,35050.65278
"P46940",42132.28611,54328.41667,47343.66944,37621.73056,52786.48889,42316.625,46689.51111,62503.04167,40479.86389,52008.525,46818.33056,48818.65278
"Q13011",349248.8417,204722.1472,378018.1222,349248.8417,292456.0528,258247.0806,296507.8694,167482.0833,354757.6611,359398.6278,322906.225,279247.3833
"Q8WWY3",0,0,0,0,0,9293.766667,0,0,0,0,0,0
"Q15365",128471.9694,107651.1583,84571.84444,104642.8528,120161.7028,122386.3056,128776.1694,114195.5,122599.5083,122599.5083,140526.2972,125612.2222
"P40926",520102.6639,559863.85,659554.425,572844.5944,544909.675,746003.8694,524995.4472,540115.8056,682653.8611,582535.6889,534962.1694,651711.1083
"P81605",17715.21111,51085.23889,95493.71111,0,17976.62222,0,21553.00278,52572.61389,95493.71111,0,21468.525,0
"P45381",28403.81389,0,35637.81667,39920.875,27310.46389,9382.4125,36282.92222,0,37621.73056,43101.08056,26736.88611,14628.94722
"P16615",0,0,0,0,0,0,0,0,0,0,0,0
"P08559",108188.9778,96933.72222,128471.9694,134155.1972,91020.11389,176213.9167,76018.00556,116548.9417,128471.9694,141575.7361,118793.3722,179177.4333
"P50851",60697.71111,10993.76944,0,51910.26667,69163.64722,56917.53889,0,0,0,0,77070.33333,0
"Q9NUV9",20398.125,9791.452778,0,0,0,3768.505556,13793.52222,0,0,0,0,0
"Q5JPH6",0,0,0,87688.4,0,98250.03333,0,0,0,0,0,129657.6861
"Q9UHJ6",0,94670.17778,15575.29444,7002.047222,3768.505556,0,83390.32778,84436.99722,56247.06111,14373.54444,9559.830556,0
"Q16658",37258.59167,58172.70833,36228.75,69379.75556,84571.84444,46553.01944,56135.89722,0,57169.19444,0,83390.32778,36869.43333
"P54652",48017.64444,50108.55,46053.91944,59540.84444,54160.36944,129074.7528,50996.28889,49545.60278,53514.58889,59915.42222,47788.14722,121781.7889
"O60763",13480.96111,2753.830556,4878.9,23060.30278,2834.530556,1055.161111,3537.127778,8242.808333,0,0,0,31231.33611
"Q14894",91020.11389,43497.88611,94484.89722,108554.7139,48818.65278,77709.525,77850.57222,49821.31667,86082.28333,121324.3972,56609.46389,73278.35556
"O00231",24779.10556,22730.30833,20116.76667,27367.98056,27753.78333,24133.67222,28846.58889,28364.89722,18518.53611,25608.95278,20825.75278,20764.94722
"Q13642",45014.49444,37786.89722,35681.90556,38072.94444,47623.21667,48379.87778,28588.86944,41840.20556,42632.01667,37786.89722,49103.56111,44797.68889
